"PLOCHA,N,19,15","DATUM_TVOR,C,254","JEV_ID,N,11,0","JEV_ID_TOK,N,11,0","N_LETOST,N,11,0","NAZEV_STUD,C,254","NAZEV_TOKU,C,254","TYP_ZAPLAV,N,11,0","VYHLASENI,C,254","ZPRACOVATE,C,254","DOKUMENT,C,50","STANOVENI,C,14",PRAVDEPODOBNOST
,1.1.2004,144751,76854,5,Tanvald,Desnß,5,1,Ing. Kladivo,,,100%
,1.1.2003,144288,77115,5,Turnov - Sedmihorky,Libu‗ka,5,1,Ing. Verner,,,100%
,1.1.2004,144750,76853,5,Tanvald - SouÜ,╚ernß Desnß,5,1,Ing. Kladivo,,,100%
,1.1.2004,144751,76854,5,Tanvald,Desnß,5,1,Ing. Kladivo,,,100%
,1.1.2004,144751,76854,5,Tanvald,Desnß,5,1,Ing. Kladivo,,,100%
,1.1.2004,144750,76853,5,Tanvald - SouÜ,╚ernß Desnß,5,1,Ing. Kladivo,,,100%
,1.1.2004,144751,76854,5,Tanvald,Desnß,5,1,Ing. Kladivo,,,100%
,1.1.2004,144750,76853,5,Tanvald - SouÜ,╚ernß Desnß,5,1,Ing. Kladivo,,,100%
,1.1.2003,144288,77115,5,Turnov - Sedmihorky,Libu‗ka,5,1,Ing. Verner,,,100%
,1.1.2003,144273,76766,5,·stÝ - Plavy,Kamenice,5,1,Ing. KrÜka,,,100%
,1.1.2003,144270,78650,5,Strß× n. Nisou - Kate°inky,╚ernß Nisa,5,1,Ing. KrÜka,Stanoveni_CernaNisa_rk0az5_040531.pdf,31.5.2004,100%
,8.12.2006,0,0,5,"v ·seku  °.km 0,000 û 15,000  tj. ·sek od soutoku se Smýdou do NovÚho Mýsta pod Smrkem",Lomnice,5,1,neuveden,Stanoveni_Lomnice_rk0az15_061208.pdf,8.12.2006,100%
,,0,0,5," StanovenÝ zßplavovÚho ·zemÝ toku Je°ice  v ·seku  °.km 0,000 û 16,000, tj. ·sek od za·stýnÝ Je°ice do Lu×ickÚ Nisy v Chrastavý a× po okraj lesa nad ÞßstÝ obce Old°ichov v HßjÝch - Na Pilßch",Je°ice,5,1,PLA,Stanoveni_Jerice_rk0az16_080407.pdf,7.4.2008,100%
,,0,0,5,"StanovenÝ zßplavovÚho ·zemÝ toku Mumlavy v ·seku  °.km 0,00 û 5,066 (·stÝ ûHarrachov)",Mumlava,5,1,PLA,Stanoveni_Mumlava_rk0az5_080408.pdf,8.4.2008,100%
,,0,0,5,"StanovenÝ zßplavovÚho ·zemÝ toku BÝlÚ DesnÚ v ·seku  °.km 0,000 û 3,000",BÝlß Desnß,5,1,,Stanoveni_BilaDesna_rk0az3_080409.pdf,9.4.2008,100%
,,0,0,5,"StanovenÝ zßplavovÚho ·zemÝ toku ÄernovnÝk  v ·seku  °.km 0,00 û 1,085 ( Äelezn² Brod)",ÄernovnÝk,5,1,,Stanoveni_Zernovnik_rk0az1_080411.pdf,11.4.2008,100%
,,0,0,5,"Zmýna zßplavovÚho ·zemÝ toku ╚ernß Nisa (stanovenÚho Krajsk²m ·°adem LK dne 31.5.2004 pod znaÞkou KULK 6065/2004/OLH) v ·seku ve Strß×i nad Nisou °.km 0,650 û 1,000",╚ernß Nisa,5,1,PLA,Stanoveni_CernaNisaZMENA_rk0-65az1_081110.pdf,10. 11. 2008,100%
,,0,0,5," StanovenÝ zßplavovÚho ·zemÝ toku Ïasnice v  °.km 0,0 û 16,5 , tj. od ·stÝ do SmýdÚ ve Fr²dlantu  a× po okraj lesa nad obcÝ HornÝ Ïasnice",Ïasnice,5,1,PLA,Stanoveni_Rasnice_rk0az5_16-5_081212.pdf,12. 12. 2008,100%
,20.12.2005,400165260,400078472,5,"StanovenÝ zßplavovÚho ·zemÝ toku BÝlß Nisa (R²novickß) v ·seku  °.km 0,00 û 5,972",BÝlß Nisa,5,1,Ing. KrÜka,Stanoveni_BilaNisaRynovicka_rk0az5-97_070417.pdf,17.4.2007,100%
,20.12.2005,400165260,400078472,5,"Zmýna stanovenÚho zßplavovÚho ·zemÝ toku BÝlÚ Nisy v ·seku  °.km 0,350-0,600",BÝlß Nisa,5,1,Ing. KrÜka,Stanoveni_BilaNisa_rk0-35az0-6_100108.pdf,8.1.2010,100%
